Date : 2026-05-23 21:15:30
Directory : /home/dev/TFG/src
Total : 157 files,  14719 codes, 1139 comments, 1764 blanks, all 17622 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/dev/TFG/src/ui/button-variants.ts                                         | TypeScript     |         33 |          0 |          3 |         36 |
| /home/dev/TFG/src/ui/button.tsx                                                 | TypeScript JSX |         22 |          0 |          5 |         27 |
| /home/dev/TFG/src/ui/calendar.tsx                                               | TypeScript JSX |         60 |          0 |          4 |         64 |
| /home/dev/TFG/src/ui/card.tsx                                                   | TypeScript JSX |         83 |          0 |         10 |         93 |
| /home/dev/TFG/src/ui/checkbox.tsx                                               | TypeScript JSX |         28 |          0 |          5 |         33 |
| /home/dev/TFG/src/ui/confirmation-dialog.tsx                                    | TypeScript JSX |         65 |          0 |          3 |         68 |
| /home/dev/TFG/src/ui/date-picker.tsx                                            | TypeScript JSX |         47 |          0 |          3 |         50 |
| /home/dev/TFG/src/ui/dialog.tsx                                                 | TypeScript JSX |        109 |          0 |         14 |        123 |
| /home/dev/TFG/src/ui/drawer.tsx                                                 | TypeScript JSX |        104 |          0 |         13 |        117 |
| /home/dev/TFG/src/ui/empty-state.tsx                                            | TypeScript JSX |         43 |          0 |          3 |         46 |
| /home/dev/TFG/src/ui/errorMessage.tsx                                           | TypeScript JSX |         25 |          0 |          3 |         28 |
| /home/dev/TFG/src/ui/garage-card-skeleton.tsx                                   | TypeScript JSX |         47 |          5 |          7 |         59 |
| /home/dev/TFG/src/ui/index.ts                                                   | TypeScript     |         27 |          0 |          2 |         29 |
| /home/dev/TFG/src/ui/input.tsx                                                  | TypeScript JSX |         21 |          0 |          4 |         25 |
| /home/dev/TFG/src/ui/label.tsx                                                  | TypeScript JSX |         20 |          0 |          5 |         25 |
| /home/dev/TFG/src/ui/popover.tsx                                                | TypeScript JSX |         24 |          0 |          5 |         29 |
| /home/dev/TFG/src/ui/select.tsx                                                 | TypeScript JSX |        145 |          0 |         13 |        158 |
| /home/dev/TFG/src/ui/sheet.tsx                                                  | TypeScript JSX |        124 |          0 |         15 |        139 |
| /home/dev/TFG/src/ui/skeleton.tsx                                               | TypeScript JSX |         10 |          0 |          3 |         13 |
| /home/dev/TFG/src/ui/switch.tsx                                                 | TypeScript JSX |         27 |          0 |          5 |         32 |
| /home/dev/TFG/src/ui/tabs.tsx                                                   | TypeScript JSX |         59 |          0 |          8 |         67 |
| /home/dev/TFG/src/ui/textarea.tsx                                               | TypeScript JSX |         18 |          0 |          4 |         22 |
| /home/dev/TFG/src/ui/time-picker.tsx                                            | TypeScript JSX |        204 |         12 |         26 |        242 |
| Total                                                                           |                |     14,719 |      1,139 |      1,764 |     17,622 |
+---------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
